name,country,follower_count,products,shopid,ctime,rating_normal,rating_bad,rating_good,item_count,rating_star,shop_location,response_time,response_rate
Ai Bei Court,VN,198,993,834594434,1659693738,1,0,41,993,4.928571,Quốc Tế,3674.0,99
Linh Store910,VN,42308,143,47420923,1512981098,872,336,12253,143,4.67324,Hà Nội,12913.0,92
NHÀ CỦA GIUN,VN,374,64,10387678,1474972948,1,0,38,64,4.921053,Quảng Ngãi,4645.0,98
Montana Clothing,VN,28253,23,142173349,1556171283,327,96,7875,23,4.797709,TP. Hồ Chí Minh,11823.0,76
order_quangc,VN,13637,73,243285604,1586430482,86,25,2799,73,4.838148,Hà Nội,11356.0,70
Unisex Hà Nội,VN,2372,183,650012215,1641657647,7,2,149,183,4.78481,Hà Nội,2176.0,99
mentalboss.official,VN,3283,65,65821359,1524141468,18,5,448,65,4.795506,TP. Hồ Chí Minh,4546.0,94
pongshop,VN,56139,224,235589828,1584084713,178,70,2792,224,4.698852,TP. Hồ Chí Minh,9701.0,92
meishangfu.vn,VN,4145,393,837671126,1660012521,18,12,87,393,4.17094,Quốc Tế,6303.0,94
chipmunk_bebe,VN,186,31,16484343,1486881951,0,0,13,31,5.0,Hà Nội,1669.0,69
L'allée,VN,16232,99,807402114,1656655298,42,48,1778,99,4.782317,Hà Nội,2135.0,95
Xưởng may VNXK Trân Trân.,VN,5624,76,278451111,1593158939,56,16,2880,76,4.896743,TP. Hồ Chí Minh,15573.0,68
EL Nino Store,VN,882,27,555048786,1633419250,27,8,378,27,4.694581,Hà Nội,1386.0,100
Shopmens HN,VN,43475,226,69329517,1526217621,765,625,16347,226,4.618049,Hà Nội,5885.0,49
Fany® Official Store,VN,390,102,156586728,1560954844,0,1,463,102,4.969095,TP. Hồ Chí Minh,3557.0,48
ttshopgiare,VN,39157,435,48322160,1513350098,742,238,19285,435,4.805167,TP. Hồ Chí Minh,3782.0,97
minhtam1408,VN,28595,474,38903681,1508073035,82,41,2442,474,4.831292,TP. Hồ Chí Minh,12273.0,29
thaituyenbi,VN,8888,336,190737631,1571739178,38,14,1036,336,4.831793,Hà Nội,16143.0,64
SHOP ÁO GAME VIP,VN,113,2118,371224766,1610333226,7,9,142,2118,4.46087,Hà Nội,16026.0,8
IAMCOCO,VN,18242,205,295347869,1597116988,28,7,958,205,4.874112,TP. Hồ Chí Minh,6658.0,93
Meo Unisex,VN,13365,219,35615067,1505994568,112,68,3741,219,4.811198,TP. Hồ Chí Minh,4323.0,99
Toudnow.Studio,VN,586,5,882778215,1665670505,0,0,6,5,5.0,Hà Nội,4058.0,1
heyyou068,VN,124,8,869717746,1663923497,1,1,8,8,4.4,Hà Nội,16701.0,42
saigon_he,VN,1601,143,275090870,1592316495,129,100,2612,143,4.699349,TP. Hồ Chí Minh,7218.0,96
WHXYQH.vn,VN,10477,331,713300941,1646966383,48,36,758,331,4.613095,Quốc Tế,11892.0,52
mymyshopzz,VN,9690,158,143508620,1556595743,59,29,2035,158,4.835643,Hà Nội,1934.0,89
avaler1309,VN,472,210,53170901,1516421726,14,10,544,210,4.863309,Hà Nam,,3
Pik Rui Office,VN,32644,115,49800273,1514275747,411,230,7791,115,4.718908,TP. Hồ Chí Minh,13789.0,82
